ID	FREQUENCY	Danish	Dutch	English	German	Icelandic	Norwegian	Swedish	COGIDS	CONCEPTS
2	2	m	m	m	m	m	m	mː	31:4, 130:3	come (V) / swim (V)
1	2	lˀ	Ø	Ø	Ø	t͡l	l	l	88:3, 176:3	mountain / thin
2	2	lˀ	l	Ø	l	l	l	lː	50:1, 92:2	fire / neck
3	1	lˀ	-	l	l	l̥	l	lː	170:2	salt
4	1	lˀ	l	l	l	r	l	lː	54:4	full
5	1	lˀ	-	l	l	l	Ø	lː	30:2	cold
1	18	l	l	l	l	l	l	l	16:4, 20:1, 25:4, 26:2, 52:1, 72:1, 73:0, 74:0, 75:0, 76:0, 77:0, 81:2, 82:1, 119:1, 121:1, 122:0, 132:2, 161:2	bird / blood / claw / cloud / fly (V) / leaf / lie (V) / liver / long / louse / many / meat / sleep (V) / small / tail / yellow
2	2	l	l	l	l	t͡l	l	lː	1:1, 173:1	all / snake
3	1	l	Ø	ḷ	Ø	-	-	-	122:3	small
4	1	l	Ø	Ø	Ø	l	b	l	162:0	far
5	1	l	n	n	n	l	l	l	128:2	sun
1	8	k	k	k	k	kʰ	k	k	-172:0, -4:3, 26:3, 30:0, 31:2, 93:2, 121:0, 160:0	bark / cloud / cold / come (V) / neck / short / small / woman
2	2	k	k	-	k	kʰ	ç	ɕ	71:0, 83:0	know (V) / meat
3	1	k	k	-	k	kʰ	k	k	69:0	knee
1	2	jˀ	x	-	k	k	Ø	g	38:3, 104:2	dry / road
2	1	jˀ	-	Ø	-	-	j	-	124:2	smoke
3	1	jˀ	ɣ	-	ɡ	k	j	ŋː	102:2	rain (V)
4	1	jˀ	ɣ	-	ɡ	k	j	g	25:2	claw
1	5	j	-	-	-	j	j	j	40:0, 47:1, 65:0, 88:1, 163:1	I / earth / far / feather / mountain
2	2	j	-	-	-	j	j	-	87:1, 126:2	mountain / star
3	1	j	k	-	x	ɣ	j	g	65:2	I
4	1	j	x	-	ɡ	ɣ	j	g	45:1	eye
5	1	j	h	h	h	ç	Ø	j	63:0	heart
1	3	iː	ɛɪ	aɪ	ai	iː	iː	iː	-41:2, 17:1, 121:2	bite (V) / eat (V) / small
2	1	iː	ɛ	eɪ	aː	eiː	iː	ɛ	110:1	say (V)
3	1	iː	eː	Ø	ɪ	ɪː	iː	e	70:1	know (V)
1	1	iˀ	ɛɪ	iː	iː	ɪː	iː	iː	154:1	we
2	1	iˀ	eː	ɪ	eː	ɛː	iː	iː	55:1	give (V)
1	1	i	ɪ	aɪ	ai	iː	iː	iː	156:1	white
2	1	i	Ø	Ø	Ø	ɛ	i	e	50:0	fire
3	1	i	Ø	ɪ	Ø	iː	iː	iː	122:1	small
1	9	h	h	h	h	h	h	h	35:0, 58:0, 59:0, 61:0, 62:0, 64:0, 92:0, 116:0, 132:0	dog / hair / hand / head / hear (V) / horn / neck / skin / tail
1	4	g	x	ɡ	ɡ	k	g	g	13:0, 56:0, 57:0, 150:0	big / good / green / walk (V)
2	4	g	-	-	-	k	k	k	2:2, 4:3, 51:3, 180:3	ashes / bark / fish / worm
3	2	g	Ø	Ø	Ø	c	Ø	-	28:1, 117:1	cloud / skin
4	1	g	-	-	-	r	k	-	101:5	person
5	1	g	Ø	Ø	Ø	c	k	kː	99:1	not
6	1	g	k	k	k	k	Ø	kː	36:4	drink (V)
7	1	g	x	j	ɡ	k	g	g	161:0	yellow
8	1	g	x	ɡ	ɡ	c	j	j	55:0	give (V)
9	1	g	-	ɡ	-	kː	g	gː	44:1	egg
10	1	g	ɣ	-	ɡ	cː	g	gː	74:2	lie (V)
1	15	f	v	f	f	f	f	f	-46:0, 16:0, 46:0, 47:0, 48:0, 51:0, 52:0, 53:0, 54:0, 81:0, 82:0, 88:0, 113:0, 158:0, 163:0	bird / far / fat / feather / fire / fish / fly (V) / foot / full / many / meat / mountain / seed / woman
1	2	eˀ	eː	əʊ	ai	ei	æ	eː	82:2, 127:2	meat / stone
2	1	eˀ	eː	əʊ	Ø	eiː	eː	eː	21:1	bone
3	1	eˀ	iː	iː	eːə	auː	eː	eː	111:2	see (V)
4	1	eˀ	eː	ʌ	ai	ei	eː	e	100:1	one
1	3	e	ɪ	ɪ	ɪ	ɪ	i	i	51:1, 117:2, 179:1	fish / skin / wind
2	1	e	eː	ɛ	eː	œː	æː	ɛː	47:2	feather
3	1	e	ɪ	-	iː	ɪ	i	i	74:1	lie (V)
4	1	e	ɛ	æ	Ø	ɪː	Ø	ɛ	46:1	fat
5	1	e	iː	æ	Ø	ɛ	eː	ə	137:1	that
6	1	e	ɪ	ɪ	ɪ	ɪː	i	i	114:1	sit (V)
7	1	e	eː	ɪ	eː	ɪː	Ø	eː	75:1	liver
8	1	e	Ø	Ø	Ø	ɔː	i	i	160:2	woman
9	1	e	Ø	Ø	Ø	ɛʰ	i	i	99:0	not
1	6	d	t	t	t	t	t	t	-46:2, 11:1, 46:2, 98:3, 125:1, 127:1	big / fat / not / stand (V) / stone
2	6	d	d	d	t	t	d	d	33:0, 36:0, 38:0, 66:0, 67:0, 67:2	die (V) / drink (V) / dry / kill (V)
3	3	d	d	ð	d	θ	d	d	137:0, 140:0, 142:0	that / this / thou
4	2	d	t	t	t͡s	t	t	t	63:3, 170:3	heart / salt
5	1	d	t	t	t	t	t	tː	95:3	night
6	1	d	t	t	t	t	t	-	126:1	star
7	1	d	t	Ø	t͡s	t	ʈ	tː	19:4	black
8	1	d	t	Ø	t͡s	Ø	ʈ	t	-172:3	short
9	1	d	t	t	t	d̥	Ø	t	23:6	breast
1	8	b	b	b	b	p	b	b	-4:0, 7:0, 17:0, 20:0, 21:0, 72:0, 87:0, 147:0	bark / belly / bite (V) / blood / bone / leaf / mountain / tree
2	2	b	Ø	Ø	Ø	b	p	b	-41:1, 4:0	bark / eat (V)
3	2	b	b	b	b	b̥	b	b	23:0, 24:0	breast / burn (V)
4	1	b	Ø	Ø	Ø	p	p	p	66:3	kill (V)
1	3	a	ɑ	æ	a	a	ɑː	a	2:0, 109:1, 176:2	ashes / sand / thin
2	2	a	ɑ	æ	a	aː	ɑ	a	72:2, 78:1	leaf / man
3	1	a	ɑ	Ø	a	au	ɑ	a	92:1	neck
4	1	a	aː	ɔː	a	aʰ	ɑ	a	153:1	water
5	1	a	ɑ	ɔ	a	aː	ɑː	ɑ	155:1	what
6	1	a	ɑ	-	ɛ	ɛ	e	ɛ	24:3	burn (V)
7	1	a	ɑ	uː	aː	œ	ɑ	a	144:1	tooth
8	1	a	ɑu	ɔː	a	a	ɑ	a	170:1	salt
9	1	a	ɑ	aɪ	a	ouʰ	ɑ	a	95:1	night
1	22	-	-	-	-	r	-	-	1:3, 4:5, 19:6, 30:5, 35:5, 50:4, 51:5, 53:4, 56:4, 76:5, 78:4, 103:4, 104:4, 109:5, 124:5, 148:3, 156:4, 166:5, 178:4, 179:5, 180:5, 181:5	all / bark / black / cold / dog / fire / fish / foot / good / heavy / long / man / red / road / sand / smoke / thin / two / white / wind / worm
2	21	-	-	-	-	ʏ	-	-	4:4, 19:5, 30:4, 35:4, 50:3, 51:4, 53:3, 54:3, 56:3, 76:4, 78:3, 90:3, 103:3, 104:3, 109:4, 124:4, 156:3, 166:4, 178:3, 179:4, 181:4	bark / black / cold / dog / fire / fish / foot / full / good / heavy / long / man / mouth / red / road / sand / smoke / thin / white / wind / worm
3	19	-	-	-	n	-	-	-	17:4, 24:8, 31:6, 32:6, 36:6, 38:5, 42:3, 52:5, 55:4, 62:4, 67:4, 70:4, 71:4, 74:4, 110:4, 112:4, 114:5, 119:5, 130:5	bite (V) / burn (V) / come (V) / die (V) / drink (V) / dry / eat (V) / fly (V) / give (V) / hear (V) / kill (V) / know (V) / lie (V) / say (V) / seed / sit (V) / sleep (V) / swim (V)
4	7	-	t	d	t	t	-	d	-108:3, 32:1, 35:3, 50:2, 59:3, 109:3, 179:3	die (V) / dog / fire / hand / round / sand / wind
5	6	-	-	-	-	j	-	-	23:3, 33:2, 83:1, 111:1, 114:3, 146:2	breast / die (V) / meat / see (V) / sit (V) / tree
6	5	-	r	r	r	r	ɾ	r	39:1, 47:5, 58:2, 62:2, 75:4	ear / feather / hair / hear (V) / liver
7	4	-	-	-	-	k	-	-	76:3, 143:3, 166:3, 173:4	heavy / long / snake / tongue
8	3	-	-	-	-	a	-	-	33:3, 46:3, 125:5	die (V) / fat / stand (V)
9	3	-	r	r	r	r	ɾ	rː	4:2, 152:2, 174:1	bark / snake / warm
10	2	-	ə	ə	ə	-	-	e	16:3, 153:3	bird / water
11	2	-	ə	-	ə	a	-	a	55:3, 110:3	give (V) / say (V)
12	2	-	-	-	-	-	ə	-	61:5, 102:5	head / rain (V)
13	2	-	ʋ	-	-	r	-	-	94:3, 158:3	new / woman
14	2	-	v	v	b	v	-	v	32:4, 55:2	die (V) / give (V)
15	2	-	k	k	x	k	k	k	7:2, 124:3	belly / smoke
16	2	-	r	Ø	r	r̥	-	r	-172:2, 19:3	black / short
17	2	-	n	-	n	-	-	-	111:3, 150:2	see (V) / walk (V)
18	2	-	-	-	ə	-	-	-	91:4, 128:3	name / sun
19	2	-	j	j	j	-	-	-	141:0, 182:0	thou / year
20	2	-	-	-	-	a	ə	a	39:2, 163:4	ear / far
21	2	-	ʋ	-	v	v	-	v	19:1, 148:1	black / two
22	2	-	ə	-	ə	-	-	-	40:4, 102:3	earth / rain (V)
23	1	-	-	d	-	t	-	-	125:4	stand (V)
24	1	-	Ø	-	Ø	t͡l	n	n	122:5	small
25	1	-	ʋ	-	v	-	Ø	-	106:0	root
26	1	-	ə	-	-	i	ə	-	1:2	all
27	1	-	ɣ	Ø	ɡ	k	-	g	16:2	bird
28	1	-	t	-	t͡s	-	Ø	-	106:3	root
29	1	-	-	ɜː	-	-	-	-	24:1	burn (V)
30	1	-	x	-	x	-	-	-	95:2	night
31	1	-	-	j	-	-	-	-	94:1	new
32	1	-	-	t	Ø	sː	-	-	137:2	that
33	1	-	f	-	Ø	v	-	v	61:2	head
34	1	-	-	-	-	t͡l	-	-	54:2	full
35	1	-	aː	-	-	-	-	-	31:0	come (V)
36	1	-	-	-	r	-	-	-	140:4	this
37	1	-	d	θ	d	ð	Ø	d	40:3	earth
38	1	-	ə	-	ə	a	ə	a	62:3	hear (V)
39	1	-	-	-	r	ð	-	-	154:2	we
40	1	-	-	-	ə	a	Ø	a	2:3	ashes
41	1	-	n	n	n	n	-	-	125:3	stand (V)
42	1	-	-	ʋ	-	-	-	-	100:0	one
43	1	-	-	əʊ	-	ʏ	-	-	161:3	yellow
44	1	-	ɣ	-	ɡ	j	-	j	110:2	say (V)
45	1	-	ɔ	-	-	-	Ø	-	23:1	breast
46	1	-	-	-	-	t	-	-	24:4	burn (V)
47	1	-	ŋ	-	-	-	-	-	31:1	come (V)
48	1	-	ŋ	ŋ	ŋ	-	Ø	-	36:3	drink (V)
49	1	-	t	θ	-	-	-	d	144:3	tooth
50	1	-	ɔ	-	ʊ	-	Ø	-	106:1	root
51	1	-	Ø	-	Ø	-	-	d	146:4	tree
52	1	-	-	-	Ø	ʏ	-	u	61:3	head
53	1	-	d	-	-	-	-	-	24:6	burn (V)
54	1	-	t	d	t	ð	-	d	56:2	good
55	1	-	t	t	s	t	-	tː	153:2	water
56	1	-	-	-	Ø	ɪ	-	-	137:3	that
57	1	-	t	ð	t	r	-	-	90:4	mouth
58	1	-	-	-	-	t͡n	j	-	127:3	stone
59	1	-	Ø	t	Ø	t	t	t	122:2	small
60	1	-	ʋ	ʋ	v	-	Ø	Ø	181:0	worm
61	1	-	ə	-	ə	-	-	e	25:3	claw
62	1	-	t	d	t	t	Ø	-	30:3	cold
63	1	-	t	t	s	ð	-	d	155:2	what
64	1	-	-	-	p	r	-	-	161:4	yellow
65	1	-	-	-	t	-	-	-	86:3	moon
66	1	-	ɛɪ	-	-	-	-	a	168:3	near
