ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	EDITID	TURCHINID	LEXSTATID	ALIGNMENT
3089	Sikaiana	Sikaiana	sika1261	1577	and	ma	ma	POLLEX	68430	520			m a	4 7	AX	MA	8	8.M.C 8.A.V	2.0 1.5	ma	0	73	106	125	77	- m a
3310	North_Marquesan	Marquesan	nort2845	1577	and	maa	maa	POLLEX	68225	520			m aː	4 7	AX	MA	4	4.M.C 4.A.V	2.0 1.5	maː	0	73	102	125	77	- m aː
4453	Ra’ivavae	Ra'ivavae	aust1304	646	ash	Gehu auahi	Gehu auahi	Tamaititahio-1213-2015	291285	1183			ɢ e h u a u a h i	1 7 3 7 7 7 7 3 7	AXBYYYYBZ	KEHYAYAHI	6	6.K.C 6.E.V 6.H.C 6.Y.V 6.A.V 6.Y.V 6.A.V 6.H.C 6.I.V	2.0 1.5 1.75 1.3 1.3 1.3 1.3 1.75 0.8	ɢehuauahi	0	85	117	141	95	ɢ e h u a u a h i
4652	Tuamotuan	Tuamotu	tuam1242	646	ash	rehu	rehu	POLLEX	52011	1183			r e h u	5 7 3 7	AXBZ	REHY	10	10.R.C 10.E.V 10.H.C 10.Y.V	2.0 1.5 1.75 0.8	rehu	0	80	112	136	90	- - - - r e h u
793	Maori	Maori	maor1246	646	ash	pungarehu	pungarehu	Biggs-85-2005	51850	1183			p u ŋ a r e h u	1 7 4 7 5 7 3 7	AXBYBYBZ	PYNAREHY	3	3.P.C 3.Y.V 3.N.C 3.A.V 3.R.C 3.E.V 3.H.C 3.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	puŋarehu	0	80	114	138	90	p u ŋ a r e h u
5174	Rurutuan	Rurutuan	aust1304	646	ash	reʔu	reʔu	Meyer-128-2005	51893	1183			r e ʔ u	5 7 1 7	AXBZ	REHY	7	7.R.C 7.E.V 7.H.C 7.Y.V	2.0 1.5 1.75 0.8	reʔu	0	80	112	136	90	- - - - r e ʔ u
1238	Tahitian	Tahitian (Modern)	tahi1242	646	ash	rehu	rehu	Clark-173-2005	51938	1183			r e h u	5 7 3 7	AXBZ	REHY	9	9.R.C 9.E.V 9.H.C 9.Y.V	2.0 1.5 1.75 0.8	rehu	0	80	112	136	90	- - - - r e h u
5682	Hawaiian	Hawaiian	hawa1245	646	ash	lehu	lehu	71458	51817	1183			l e h u	5 7 3 7	AXBZ	LEHY	1	1.L.C 1.E.V 1.H.C 1.Y.V	2.0 1.5 1.75 0.8	lehu	0	80	112	136	90	- - - - l e h u
1670	Rapanui	Rapanui (Easter Island)	rapa1244	646	ash	éoéo	éoéo	POLLEX	130638	1183			ʔ e o ʔ e o	1 7 7 1 7 7	AXYBYZ	HEUHEU	5	5.H.C 5.E.V 5.U.V 5.H.C 5.E.V 5.U.V	2.0 1.5 1.3 1.75 1.3 0.8	ʔeoʔeo	0	80	116	139	94	ʔ e o ʔ e o
1921	Mangareva	Mangareva	mang1401	646	ash	ngara'u	ngara'u	POLLEX	321563	10			ŋ a r a ʔ u	4 7 5 7 1 7	AXBYBZ	NARAHY	2	2.N.C 2.A.V 2.R.C 2.A.V 2.H.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	ŋaraʔu	0	80	113	137	90	- - ŋ a r a ʔ u
