# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	TID	EDITID	SCAID	INFOMAPID	ALIGNMENT
753	Maori	Maori	maor1246	1209	I	au	au	Biggs-85-2005	64702	4			a u	7 7	XZ	AY	3	3.A.V 3.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
5131	Rurutuan	Rurutuan	aust1304	1209	I	au	au	Meyer-128-2005	81790	4			a u	7 7	XZ	AY	7	7.A.V 7.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
5132	Rurutuan	Rurutuan	aust1304	1209	I	vau	vau	Meyer-128-2005	81789	4			v a u	3 7 7	AXZ	BAY	7	7.B.C 7.A.V 7.Y.V	2.0 1.5 0.8	vau	0	28	28	14	15	10	v a u
1198	Tahitian	Tahitian (Modern)	tahi1242	1209	I	vau	vau	Clark-173-2005	81800	4			v a u	3 7 7	AXZ	BAY	9	9.B.C 9.A.V 9.Y.V	2.0 1.5 0.8	vau	0	28	28	14	15	10	v a u
1199	Tahitian	Tahitian (Modern)	tahi1242	1209	I	au	au	Clark-173-2005	81799	4			a u	7 7	XZ	AY	9	9.A.V 9.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
5641	Hawaiian	Hawaiian	hawa1245	1209	I	['o] au	au	71458	64669	4			a u	7 7	XZ	AY	1	1.A.V 1.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
1622	Rapanui	Rapanui (Easter Island)	rapa1244	1209	I	au	au	POLLEX	133553	4			a u	7 7	XZ	AY	5	5.A.V 5.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
1877	Mangareva	Mangareva	mang1401	1209	I	au	au	POLLEX	321566	4			a u	7 7	XZ	AY	2	2.A.V 2.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
3103	Sikaiana	Sikaiana	sika1261	1209	I	n/au/	au	POLLEX	64860	4			a u	7 7	XZ	AY	8	8.A.V 8.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
3324	North_Marquesan	Marquesan	nort2845	1209	I	='u	='u	POLLEX	123646	1460			ʔ u	1 7	AX	HY	4	4.H.C 4.Y.V	2.0 1.5	ʔu	0	23	23	14	18	11	ʔ u
