ID	FREQUENCY	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuolo	Zhoucheng	COGIDS	CONCEPTS
7	1	j	j	j	-	j	j	j	j	j	539:2	water
8	1	j	j	j	j	j	j	-	j	j	169:1	hear
1	2	f	Ø	f	pf	f	f	p	f	f	40:0, 151:0	belly / fly
1	8	-	-	-	w	-	-	-	-	-	178:1, 216:1, 275:1, 407:1, 408:1, 488:1, 498:1, 621:1	horn / know / mountain / short / sit / that / thin / worm
2	7	-	-	-	n	-	n	-	ŋ	-	158:3, 161:2, 169:3, 280:3, 384:3, 435:2, 624:2	good / green / hear / name / salt / star / yellow
3	5	-	-	-	ŋ	-	-	ŋ	ŋ	-	109:2, 116:3, 235:2, 500:2, 625:2	dry / ear / liver / this / yellow
4	4	-	-	j	-	-	-	-	-	-	154:1, 236:1, 262:1, 370:1	full / long / moon / red
5	3	-	-	-	n	-	-	ŋ	n	w	159:2, 385:3, 535:2	good / salt / walk(go)
6	3	-	-	-	-	-	-	n	n	-	275:3, 354:2, 603:3	mountain / person / wind
7	3	-	kʰ	ʁ	ʁ	ŋ	-	ɣ	Ø	-	380:0, 535:0, 625:0	round / walk(go) / yellow
8	3	-	-	j	-	-	-	-	j	-	163:1, 462:2, 530:1	hair / swim / tree
9	3	-	-	-	-	-	n	-	-	-	212:2, 227:2, 412:2	know / lie / sleep
10	2	-	-	-	ŋ	-	-	-	ŋ	-	177:2, 292:2	heavy / neck
11	2	-	-	j	j	-	-	-	-	-	164:1, 511:1	hair / tongue
12	2	-	-	-	n	j	-	-	n	-	133:3, 139:3	eye / far
13	2	-	ŋ	-	-	ŋ	-	ŋ	-	-	263:0, 554:0	moon / we
14	1	-	-	w	-	-	-	-	-	-	166:3	head
15	1	-	-	-	-	-	n	-	ŋ	Ø	561:2	what
16	1	-	w	w	-	-	-	-	-	-	377:2	road
17	1	-	-	-	-	-	-	-	ŋ	-	188:3	knee
18	1	-	-	-	-	-	-	-	j	-	166:1	head
19	1	-	Ø	Ø	n	Ø	Ø	-	-	Ø	395:2	see
20	1	-	-	-	-	-	-	w	-	-	425:2	snake
21	1	-	-	-	-	-	w	n	-	-	510:2	thou
22	1	-	-	-	w	-	-	-	w	-	386:1	sand
23	1	-	-	-	w	-	-	ŋ	-	w	236:3	long
24	1	-	-	-	-	-	-	ŋ	-	-	178:3	horn
25	1	-	ŋ	ŋ	-	Ø	-	ŋ	-	-	133:0	eye
26	1	-	-	-	Ø	Ø	w	-	-	Ø	581:3	who
27	1	-	Ø	j	j	j	Ø	Ø	j	Ø	322:1	nose
28	1	-	-	j	-	j	-	-	-	-	141:1	feather
29	1	-	-	-	ŋ	-	-	-	-	-	263:3	moon
