# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE	PATTERNS
37	Mazhelong	big	do₄₂	d o ⁴²	191	a	29	145 887 1175	1202	sout2730	1 7 8	AXT	TU3	7	7.T.C 7.U.V 7.3.T	1.6 3.0 1.0	0	43	d o - ⁴²	c v t	35-2/t 0/n 101-3/w 0/n
38	Dashi	big	tow₄₂	t o w ⁴²	191	a	29	120 887 462 1175	1202	cent2004	1 7 6 8	AXLT	TUW3	1	1.T.C 1.U.V 1.W.c 1.3.T	1.6 3.0 1.1 1.0	0	43	t o w ⁴²	c v c t	35-2/t 0/n 101-3/w 0/n
39	Zhoucheng	big	to₄₂	t o ⁴²	191	a	29	120 887 1175	1202	sout2730	1 7 8	AXT	TU3	9	9.T.C 9.U.V 9.3.T	1.6 3.0 1.0	0	43	t o - ⁴²	c v t	35-2/t 0/n 101-3/w 0/n
40	Jinxing	big	tow₄₂	t o w ⁴²	191	a	29	120 887 462 1175	1202	cent2004	1 7 6 8	AXLT	TUW3	6	6.T.C 6.U.V 6.W.c 6.3.T	1.6 3.0 1.1 1.0	0	43	t o w ⁴²	c v c t	35-2/t 0/n 101-3/w 0/n
41	Tuolo	big	dɔ₂₁	d ɔ ²¹	191	a	29	145 916 1152	1202	nort2724	1 7 8	AXT	TU3	8	8.T.C 8.U.V 8.3.T	1.6 3.0 1.0	0	43	d ɔ - ²¹	c v t	35-2/t 0/n 101-3/w 0/n
42	Enqi	big	da₄₃	d a ⁴³	191	a	29	145 997 1176	1202	nort2724	1 7 8	AXT	TA3	3	3.T.C 3.A.V 3.3.T	1.6 3.0 1.0	0	43	d a - ⁴³	c v t	35-2/t 0/n 101-3/w 0/n
43	Ega	big	do₄₂	d o ⁴²	191	a	29	145 887 1175	1202	nort2724	1 7 8	AXT	TU3	2	2.T.C 2.U.V 2.3.T	1.6 3.0 1.0	0	43	d o - ⁴²	c v t	35-2/t 0/n 101-3/w 0/n
#
44	Gongxing	bird	ʦu₂₄	ts u ²⁴	203	a	30	15 868 1156	937	nort2724	2 7 8	AXT	CY2	4	4.C.C 4.Y.V 4.2.T	1.6 3.0 1.0	0	44	ts u - ²⁴	c v t	132-5/ts 0/n 152-4/w 0/n
45	Jinman	bird	ʦo₅₅	ts o ⁵⁵	203	a	30	15 887 1189	937	nort2724	2 7 8	AXT	CU5	5	5.C.C 5.U.V 5.5.T	1.6 3.0 1.0	0	44	ts o - ⁵⁵	c v t	132-5/ts 0/n 152-4/w 0/n
